역이름,역지역,위도,경도
문산,수도권,37.85461245,126.7873772
임진강,수도권,37.88826421,126.7470603
신내,수도권,37.61248742,127.1042669
갈매,수도권,37.63406534,127.1147426
별내,수도권,37.64205356,127.1269691
퇴계원,수도권,37.64825136,127.1435235
사릉,수도권,37.65110718,127.1769126
금곡,수도권,37.63734436,127.2075155
평내호평,수도권,37.65320301,127.2444344
천마산,수도권,37.6592205,127.2850491
마석,수도권,37.65277422,127.3116774
대성리,수도권,37.68398291,127.3796926
청평,수도권,37.73550205,127.4266046
상천,수도권,37.77017487,127.4544975
가평,수도권,37.81450566,127.5107348
굴봉산,수도권,37.83205898,127.5577698
백양리,수도권,37.83078819,127.5893159
강촌,수도권,37.80570741,127.6341287
디지털미디어시티,수도권,37.57600202,126.9012631
김유정,수도권,37.81843831,127.7143057
남춘천,수도권,37.86403969,127.7238142
춘천,수도권,37.88449835,127.7166939
봉명,수도권,36.80141984,127.1360336
쌍용,수도권,36.79372219,127.1213648
아산,수도권,36.79460339,127.1043579
배방,수도권,36.7776965,127.0527836
온양온천,수도권,36.78053767,127.0031815
신창,수도권,36.76962428,126.9513886
선바위,수도권,37.45174078,127.0022151
경마공원,수도권,37.44395578,127.00782
대공원,수도권,37.43604493,127.0067344
과천,수도권,37.4328735,126.9966103
정부과천청사,수도권,37.42649391,126.9898545
인덕원,수도권,37.40147975,126.9766663
평촌,수도권,37.3942323,126.9637945
범계,수도권,37.38977654,126.9507652
금정,수도권,37.37245559,126.9434607
삼동,수도권,37.40867752,127.203359
경기광주,수도권,37.39894023,127.2532736
초월,수도권,37.37336832,127.2999052
곤지암,수도권,37.35053595,127.3462468
신둔도예촌,수도권,37.31560508,127.4052227
이천,수도권,37.26422223,127.4421498
여주,수도권,37.2828597,127.62852
구로,수도권,37.50332802,126.8822911
가산디지털단지,수도권,37.48038874,126.8826437
금천구청,수도권,37.45617995,126.8935996
석수,수도권,37.43508572,126.9023072
관악,수도권,37.41955714,126.9084955
안양,수도권,37.40185319,126.9226348
명학,수도권,37.38445321,126.9355928
의왕,수도권,37.32034211,126.9479675
성균관대,수도권,37.300329,126.971013
화서,수도권,37.28398727,126.989603
수원,수도권,37.2657867,127.0000902
독산,수도권,37.46596115,126.8894711
세류,수도권,37.24387252,127.0137952
군포,수도권,37.35418507,126.9485085
병점,수도권,37.20674549,127.0331869
세마,수도권,37.18711726,127.0434268
오산대,수도권,37.16933963,127.0630757
송탄,수도권,37.07570545,127.0542715
서정리,수도권,37.05654929,127.0528637
평택,수도권,36.99096795,127.0852821
성환,수도권,36.91612238,127.1268778
직산,수도권,36.87092205,127.1438058
두정,수도권,36.83359183,127.1490719
천안,수도권,36.80899436,127.1468277
당정,수도권,37.343679,126.9483577
서동탄,수도권,37.19572794,127.0518568
광명,수도권,37.41643692,126.8847995
산본,수도권,37.3580157,126.9330418
대야미,수도권,37.32796512,126.9168885
반월,수도권,37.31236734,126.9038199
상록수,수도권,37.30285234,126.8665876
한대앞,수도권,37.30975702,126.8536706
중앙,수도권,37.31600848,126.8384964
고잔,수도권,37.31679727,126.8230166
초지,수도권,37.32066297,126.8059491
안산,수도권,37.32701304,126.7888729
신길온천,수도권,37.33762224,126.7670415
정왕,수도권,37.35180851,126.7429119
오이도,수도권,37.36169184,126.7383855
수리산,수도권,37.35055076,126.9256219
개봉,수도권,37.49463448,126.8586934
오류동,수도권,37.49438279,126.8448075
역곡,수도권,37.48530715,126.8120593
부천,수도권,37.48397806,126.7830727
송내,수도권,37.4876132,126.7530306
부평,수도권,37.48944182,126.7243266
백운,수도권,37.48332803,126.7072764
주안,수도권,37.46503882,126.6799476
제물포,수도권,37.46672224,126.6569483
동인천,수도권,37.47540683,126.6326025
인천,수도권,37.47614957,126.6168166
구일,수도권,37.4962509,126.8696821
세종대왕릉,수도권,37.2936228,127.5706415
오산,수도권,37.14470276,127.0666121
진위,수도권,37.11006822,127.0623515
동암,수도권,37.47068493,126.7028717
소사,수도권,37.48279309,126.7956262
부개,수도권,37.48846983,126.7407256
간석,수도권,37.46469636,126.6935134
도원,수도권,37.46876979,126.6425148
온수,수도권,37.49195669,126.8238253
중동,수도권,37.48666358,126.7645216
도화,수도권,37.46610669,126.6685715
서울숲,수도권,37.54363499,127.0447417
압구정로데오,수도권,37.52750857,127.0405915
강남구청,수도권,37.51720086,127.0412872
선정릉,수도권,37.51092904,127.0436137
가천대,수도권,37.4485554,127.1266866
